employeeid,Age,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome(USD),NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimes,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,yearofjoining,TechnologyAdoption,Benefits,Facilities,ChallengingLevels,ExtracurricularActivities,YearOfLeaving
107848,33,No,Travel_Rarely,Research & Development,13,Life Sciences,2,Male,3,1,Research Scientist,4,Single,3452,3,Y,No,18,3,1,0,5,4,3,3,2,0,2,2014,3,4,5,0,5,
107849,31,Yes,Non-Travel,Research & Development,9,Medical,3,Female,2,1,Research Scientist,1,Single,2321,0,Y,Yes,22,4,2,0,4,0,3,3,2,1,2,2011,4,3,2,1,4,2014
107850,29,No,Travel_Frequently,Sales,20,Technical Degree,3,Female,3,1,Sales Representative,4,Single,2157,1,Y,N,15,3,2,1,3,5,3,3,1,0,2,2014,5,2,3,0,3,
107851,32,No,Non-Travel,Research & Development,1,Life Sciences,3,Male,2,1,Laboratory Technician,2,Married,2332,6,Y,No,20,4,4,0,5,3,3,3,0,0,2,2014,4,2,3,0,4,
107852,22,Yes,Travel_Rarely,Research & Development,3,Life Sciences,2,Female,3,2,Manufacturing Director,3,Divorced,4171,0,Y,Yes,19,3,1,1,4,3,4,3,2,0,2,2008,3,4,2,1,3,2011
107853,47,No,Travel_Rarely,Sales,2,Life Sciences,4,Female,3,1,Sales Representative,4,Single,3294,1,Y,Y,18,3,3,0,3,3,2,3,2,1,2,2014,2,3,4,1,2,
107854,33,No,Travel_Rarely,Research & Development,1,Other,3,Male,2,1,Research Scientist,1,Single,2799,3,Y,Yes,11,3,2,0,6,1,3,3,2,0,2,2014,2,5,4,1,2,
107855,30,No,Travel_Frequently,Research & Development,5,Medical,2,Male,3,1,Laboratory Technician,2,Single,2422,0,Y,No,17,3,1,0,4,3,3,3,2,1,2,2014,3,4,5,0,5,
107856,35,Yes,Travel_Rarely,Research & Development,10,Other,2,Female,3,1,Laboratory Technician,4,Divorced,3917,1,Y,No,20,4,2,1,3,4,2,3,2,1,2,2011,4,3,2,1,4,2014
107857,27,No,Travel_Rarely,Research & Development,2,Life Sciences,1,Female,3,2,Manufacturing Director,4,Single,4227,0,Y,N,18,3,2,1,4,2,3,3,2,2,2,2014,5,2,3,0,3,
107858,26,No,Travel_Frequently,Research & Development,2,Life Sciences,1,Male,3,1,Research Scientist,1,Married,2042,6,Y,Yes,14,3,4,1,6,2,3,3,2,1,2,2014,4,2,3,0,4,
107859,55,Yes,Travel_Frequently,Research & Development,2,Life Sciences,2,Male,3,3,Manufacturing Director,2,Divorced,10976,3,Y,No,18,3,2,1,23,4,3,3,2,1,2,2008,3,4,2,1,3,2011
107860,27,No,Non-Travel,Research & Development,8,Life Sciences,1,Male,3,1,Laboratory Technician,3,Married,4621,1,Y,Y,19,3,3,3,3,4,3,3,2,1,2,2014,2,3,4,1,2,
107861,33,No,Travel_Rarely,Research & Development,5,Life Sciences,4,Male,2,3,Healthcare Representative,4,Divorced,7119,4,Y,No,15,3,3,1,9,2,3,3,2,1,2,2014,2,5,4,1,2,
107862,28,No,Travel_Rarely,Research & Development,1,Medical,3,Male,3,1,Research Scientist,1,Single,3591,1,Y,No,25,4,3,1,3,3,3,3,2,1,2,2014,3,4,5,0,5,
107863,31,Yes,Travel_Frequently,Sales,7,Marketing,1,Female,3,3,Sales Executive,1,Married,9637,2,Y,No,14,3,2,2,9,3,3,3,2,2,2,2011,4,3,2,1,4,2014
107864,28,No,Non-Travel,Human Resources,1,Life Sciences,3,Male,3,1,Human Resources,4,Single,2706,1,Y,N,15,3,2,1,3,2,3,3,2,2,2,2014,5,2,3,0,3,
107865,39,No,Non-Travel,Sales,21,Life Sciences,1,Male,1,2,Sales Executive,3,Married,5736,6,Y,No,19,3,4,1,10,1,3,3,2,1,2,2014,4,2,3,0,4,
107866,29,Yes,Travel_Rarely,Research & Development,7,Life Sciences,2,Male,3,1,Laboratory Technician,1,Divorced,2062,3,Y,No,14,3,2,0,11,2,3,3,2,1,2,2008,3,4,2,1,3,2011
107867,35,No,Travel_Rarely,Research & Development,16,Other,4,Female,3,2,Manufacturing Director,2,Married,4788,0,Y,Y,11,3,3,0,4,2,3,3,2,0,2,2014,2,3,4,1,2,
107868,23,No,Travel_Rarely,Research & Development,4,Medical,3,Female,3,1,Laboratory Technician,2,Single,3295,1,Y,No,13,3,3,0,3,3,1,3,2,1,2,2014,2,5,4,1,2,
107869,29,No,Travel_Frequently,Research & Development,1,Life Sciences,4,Male,4,2,Healthcare Representative,3,Single,6294,8,Y,Yes,12,3,4,0,10,5,4,3,2,0,2,2014,3,4,5,0,5,
107870,53,Yes,Non-Travel,Research & Development,1,Medical,1,Female,2,4,Manufacturing Director,3,Married,12965,4,Y,Yes,20,4,2,3,27,2,2,3,2,0,2,2011,4,3,2,1,4,2014
107871,41,No,Travel_Rarely,Research & Development,5,Life Sciences,2,Male,3,2,Healthcare Representative,2,Single,6870,3,Y,N,12,3,1,0,11,3,1,3,2,1,2,2014,5,2,3,0,3,
107872,43,No,Non-Travel,Research & Development,9,Life Sciences,1,Male,3,1,Research Scientist,3,Single,2438,4,Y,No,13,3,4,0,7,2,2,3,2,1,2,2014,4,2,3,0,4,
107873,50,Yes,Travel_Rarely,Sales,28,Marketing,2,Male,2,3,Sales Executive,1,Divorced,10854,4,Y,Yes,13,3,2,1,20,3,3,3,2,2,0,2008,3,4,2,1,3,2011
107874,50,Yes,Travel_Rarely,Sales,28,Marketing,4,Male,3,3,Sales Executive,1,Divorced,10854,4,Y,Y,13,3,3,1,20,3,3,3,2,2,0,2007,2,3,4,1,2,2010
107875,22,No,Travel_Rarely,Research & Development,1,Life Sciences,4,Male,3,1,Research Scientist,3,Single,3375,0,Y,No,12,3,4,0,4,2,4,3,2,1,2,2014,2,5,4,1,2,
107876,22,No,Travel_Rarely,Research & Development,1,Life Sciences,4,Male,3,1,Research Scientist,3,Single,3375,0,Y,No,12,3,4,0,4,2,4,3,2,1,2,2014,3,4,5,0,5,
107877,23,Yes,Travel_Rarely,Research & Development,4,Medical,3,Female,3,1,Laboratory Technician,2,Single,3295,1,Y,No,13,3,2,0,3,3,1,3,2,1,2,2011,4,3,2,1,4,2014
107878,26,No,Travel_Rarely,Research & Development,17,Medical,4,Male,3,1,Laboratory Technician,3,Single,2305,1,Y,N,15,3,3,3,3,3,4,3,2,0,2,2014,5,2,3,0,3,
107879,41,No,Non-Travel,Human Resources,4,Human Resources,3,Male,1,2,Human Resources,2,Married,6430,6,Y,No,19,3,4,1,10,4,3,3,2,1,2,2014,4,2,3,0,4,
107880,23,Yes,Travel_Rarely,Sales,7,Life Sciences,2,Male,3,1,Sales Representative,4,Divorced,2275,1,Y,Yes,21,4,2,1,3,2,3,3,2,0,2,2008,3,4,2,1,3,2011
107881,53,No,Non-Travel,Research & Development,1,Medical,1,Female,3,4,Manufacturing Director,3,Married,12965,4,Y,Y,20,4,3,3,27,2,2,3,2,0,2,2014,2,3,4,1,2,
107882,36,No,Travel_Rarely,Research & Development,5,Life Sciences,2,Female,3,3,Healthcare Representative,1,Married,8008,4,Y,No,12,3,3,2,9,6,3,3,2,0,2,2014,2,5,4,1,2,
107883,27,No,Travel_Rarely,Research & Development,8,Medical,2,Male,4,1,Research Scientist,3,Single,3517,7,Y,No,17,3,1,0,5,0,3,3,2,0,2,2014,3,4,5,0,5,
107884,36,Yes,Travel_Rarely,Research & Development,12,Life Sciences,3,Female,3,2,Manufacturing Director,3,Married,4663,9,Y,Yes,12,3,2,2,7,2,3,3,2,1,1,2011,4,3,2,1,4,2014
107885,47,No,Travel_Rarely,Sales,2,Life Sciences,2,Female,3,4,Sales Executive,2,Single,15972,6,Y,N,14,3,3,3,29,2,3,3,2,1,2,2014,5,2,3,0,3,
107886,36,No,Travel_Rarely,Research & Development,26,Life Sciences,1,Male,3,2,Healthcare Representative,3,Married,5347,6,Y,No,14,3,4,2,10,2,2,3,2,0,2,2014,4,2,3,0,4,
107887,36,Yes,Non-Travel,Research & Development,1,Medical,2,Female,2,2,Manufacturing Director,3,Divorced,4374,0,Y,No,15,3,3,0,4,6,3,3,2,1,2,2008,3,4,2,1,3,2011
107888,39,No,Non-Travel,Sales,21,Life Sciences,1,Female,3,2,Sales Executive,3,Married,5736,6,Y,Y,19,3,3,1,10,1,3,3,2,1,2,2014,2,3,4,1,2,
107889,29,No,Travel_Frequently,Research & Development,1,Life Sciences,4,Male,4,2,Healthcare Representative,3,Single,6294,8,Y,Yes,12,3,4,0,10,5,4,3,2,0,2,2014,2,5,4,1,2,
107890,43,No,Non-Travel,Research & Development,9,Life Sciences,1,Male,3,1,Research Scientist,3,Single,2438,4,Y,No,13,3,3,0,7,2,2,3,2,1,2,2014,3,4,5,0,5,
107891,41,Yes,Travel_Rarely,Research & Development,5,Life Sciences,2,Female,4,2,Healthcare Representative,2,Single,6870,3,Y,No,12,3,2,0,11,3,1,3,2,1,2,2011,4,3,2,1,4,2014
107892,31,No,Travel_Frequently,Sales,7,Marketing,1,Female,3,3,Sales Executive,1,Single,9637,2,Y,N,14,3,4,2,9,3,3,3,2,2,2,2014,5,2,3,0,3,
107893,28,No,Travel_Rarely,Research & Development,1,Medical,3,Male,3,1,Research Scientist,1,Married,3591,1,Y,No,25,4,4,1,3,3,3,3,2,1,2,2014,4,2,3,0,4,
107894,29,Yes,Travel_Rarely,Research & Development,7,Life Sciences,2,Male,3,1,Laboratory Technician,1,Divorced,2062,3,Y,No,14,3,2,0,11,2,3,3,2,1,2,2008,3,4,2,1,3,2011
107895,35,No,Travel_Rarely,Research & Development,16,Other,4,Female,3,2,Manufacturing Director,2,Married,4788,0,Y,Y,11,3,3,0,4,2,3,3,2,0,2,2014,2,3,4,1,2,
107896,28,No,Non-Travel,Human Resources,1,Life Sciences,3,Male,3,1,Human Resources,4,Divorced,2706,1,Y,No,15,3,2,1,3,2,3,3,2,2,2,2014,2,5,4,1,2,
107897,47,No,Travel_Rarely,Research & Development,9,Life Sciences,2,Male,3,1,Laboratory Technician,3,Single,2105,4,Y,No,12,3,3,0,7,2,3,2,2,2,0,2015,3,4,5,0,5,
107898,32,Yes,Travel_Rarely,Sales,2,Marketing,3,Female,2,2,Sales Executive,2,Single,9907,7,Y,Yes,12,3,2,0,7,3,2,2,2,2,2,2012,4,3,2,1,4,2014
107899,39,No,Travel_Rarely,Research & Development,19,Other,4,Male,3,2,Research Scientist,4,Single,3902,8,Y,N,14,3,2,3,7,2,3,2,2,2,2,2015,5,2,3,0,3,
107900,58,No,Travel_Frequently,Research & Development,15,Life Sciences,1,Male,3,4,Research Director,3,Married,15787,2,Y,Yes,14,3,4,0,23,3,3,2,2,2,2,2015,4,2,3,0,4,
107901,29,Yes,Travel_Rarely,Human Resources,13,Human Resources,2,Male,2,1,Human Resources,1,Divorced,2335,4,Y,Yes,15,3,4,3,4,3,3,2,2,2,0,2009,3,4,2,1,3,2011
107902,39,No,Travel_Frequently,Sales,20,Life Sciences,3,Male,3,2,Sales Executive,4,Divorced,4127,2,Y,Y,18,3,3,1,7,6,3,2,1,2,2,2015,2,3,4,1,2,
107903,46,No,Non-Travel,Sales,26,Life Sciences,2,Male,2,2,Sales Executive,2,Single,7991,8,Y,No,15,3,3,0,6,3,3,2,2,2,2,2015,2,5,4,1,2,
107904,31,No,Travel_Rarely,Research & Development,4,Medical,1,Male,4,1,Laboratory Technician,3,Single,3978,8,Y,No,12,3,2,1,4,0,2,2,2,2,2,2015,3,4,5,0,5,
107905,44,Yes,Travel_Rarely,Research & Development,1,Life Sciences,2,Female,4,2,Healthcare Representative,1,Married,5033,2,Y,No,15,3,2,1,10,5,3,2,0,2,2,2012,4,3,2,1,4,2014
107906,28,Yes,Travel_Rarely,Sales,13,Marketing,4,Female,3,2,Sales Executive,3,Single,9854,3,Y,N,11,3,4,0,6,0,3,2,0,2,2,2011,5,2,3,0,3,2013
107907,53,No,Travel_Rarely,Sales,24,Life Sciences,1,Male,3,3,Sales Executive,1,Single,10448,6,Y,Yes,13,3,4,0,15,2,2,2,2,2,2,2015,4,2,3,0,4,
107908,35,Yes,Travel_Rarely,Research & Development,11,Medical,2,Male,3,1,Laboratory Technician,3,Divorced,2660,7,Y,Yes,11,3,3,1,5,3,3,2,2,2,2,2009,3,4,2,1,3,2011
107909,31,No,Travel_Rarely,Sales,2,Life Sciences,1,Male,3,1,Sales Representative,3,Married,3067,0,Y,Y,19,3,3,1,3,1,3,2,2,1,2,2015,2,3,4,1,2,
107910,25,No,Travel_Rarely,Human Resources,2,Human Resources,3,Female,3,1,Human Resources,2,Married,2187,4,Y,No,14,3,3,0,6,3,3,2,0,1,2,2015,2,5,4,1,2,
107911,25,No,Travel_Rarely,Research & Development,2,Other,4,Male,3,1,Laboratory Technician,3,Single,3977,6,Y,Yes,19,3,3,1,7,2,2,2,2,0,2,2015,3,4,5,0,5,
107912,20,Yes,Travel_Rarely,Sales,2,Medical,3,Female,3,1,Sales Representative,3,Single,2783,1,Y,No,19,3,2,0,2,3,3,2,2,2,2,2012,4,3,2,1,4,2014
107913,49,No,Travel_Rarely,Research & Development,16,Medical,4,Female,3,1,Laboratory Technician,1,Single,2587,4,Y,N,16,3,2,1,17,2,2,2,2,2,2,2015,5,2,3,0,3,
107914,44,No,Travel_Rarely,Human Resources,1,Life Sciences,3,Male,3,1,Human Resources,4,Divorced,3195,4,Y,Yes,18,3,4,3,8,2,3,2,2,2,2,2015,4,2,3,0,4,
107915,41,Yes,Travel_Rarely,Sales,23,Life Sciences,2,Male,3,3,Sales Executive,3,Divorced,7082,3,Y,Yes,16,3,4,0,21,2,3,2,0,0,2,2009,3,4,2,1,3,2011
107916,20,No,Travel_Rarely,Sales,9,Life Sciences,4,Male,3,1,Sales Representative,1,Single,2728,1,Y,Y,11,3,3,0,2,3,3,2,2,0,2,2015,2,3,4,1,2,
107917,21,No,Travel_Rarely,Research & Development,5,Medical,3,Male,3,1,Research Scientist,4,Single,3117,1,Y,No,18,3,3,0,3,2,3,2,2,2,2,2015,2,5,4,1,2,
107918,48,No,Travel_Frequently,Research & Development,4,Medical,3,Male,2,4,Research Scientist,4,Single,15202,2,Y,No,25,4,2,1,23,3,3,2,2,2,2,2015,3,4,5,0,5,
107919,35,Yes,Travel_Rarely,Sales,15,Medical,1,Female,1,2,Sales Executive,4,Divorced,5440,6,Y,Yes,14,3,2,2,7,2,2,2,2,2,2,2012,4,3,2,1,4,2014
107920,34,No,Travel_Rarely,Sales,3,Life Sciences,4,Female,3,2,Sales Executive,4,Single,6029,5,Y,N,12,3,1,0,6,3,3,2,2,2,2,2015,5,2,3,0,3,
107921,51,No,Travel_Rarely,Research & Development,3,Technical Degree,1,Male,3,3,Healthcare Representative,3,Married,13116,2,Y,No,11,3,4,0,15,2,3,2,2,2,2,2015,4,2,3,0,4,
107922,46,Yes,Travel_Rarely,Research & Development,2,Medical,2,Male,3,5,Research Director,4,Divorced,19328,7,Y,Yes,17,3,3,1,24,3,3,2,1,2,2,2009,3,4,2,1,3,2011
107923,24,No,Travel_Frequently,Human Resources,10,Medical,1,Male,3,1,Human Resources,4,Married,2145,0,Y,Y,14,3,3,1,3,2,3,2,2,2,1,2015,2,3,4,1,2,
107924,29,Yes,Travel_Rarely,Sales,9,Marketing,2,Female,1,1,Sales Representative,2,Single,2760,1,Y,No,13,3,3,0,2,3,3,2,2,2,2,2014,2,5,4,1,2,2016
107925,36,No,Travel_Rarely,Sales,13,Marketing,2,Male,2,2,Sales Executive,1,Single,6134,5,Y,Yes,13,3,2,3,16,3,3,2,2,2,2,2015,3,4,5,0,5,
107926,35,Yes,Travel_Rarely,Research & Development,11,Medical,4,Female,3,1,Laboratory Technician,3,Married,2660,7,Y,Yes,11,3,2,1,5,3,3,2,2,2,2,2012,4,3,2,1,4,2014
107927,31,No,Travel_Rarely,Sales,2,Life Sciences,1,Male,3,1,Sales Representative,3,Single,3067,0,Y,N,19,3,3,1,3,1,3,2,2,1,2,2015,5,2,3,0,3,
107928,25,No,Travel_Rarely,Human Resources,2,Human Resources,3,Male,3,1,Human Resources,2,Married,2187,4,Y,No,14,3,4,0,6,3,3,2,0,1,2,2015,4,2,3,0,4,
107929,25,Yes,Travel_Rarely,Research & Development,2,Other,2,Male,3,1,Laboratory Technician,3,Divorced,3977,6,Y,Yes,19,3,3,1,7,2,2,2,2,0,2,2009,3,4,2,1,3,2011
107930,29,Yes,Travel_Rarely,Research & Development,1,Medical,1,Male,3,1,Research Scientist,4,Married,4787,9,Y,Y,14,3,3,3,4,3,4,2,2,2,2,2008,2,3,4,1,2,2010
107931,21,No,Travel_Rarely,Sales,5,Medical,3,Male,3,1,Sales Representative,1,Single,2380,1,Y,Yes,11,3,4,0,2,6,3,2,2,1,2,2015,2,5,4,1,2,
107932,32,No,Travel_Rarely,Sales,1,Medical,2,Male,2,1,Sales Representative,2,Single,2269,0,Y,No,14,3,2,1,3,2,3,2,2,2,2,2015,3,4,5,0,5,
107933,53,Yes,Travel_Rarely,Sales,24,Life Sciences,1,Female,3,3,Sales Executive,1,Single,10448,6,Y,Yes,13,3,2,0,15,2,2,2,2,2,2,2012,4,3,2,1,4,2014
107934,32,No,Travel_Rarely,Sales,1,Medical,2,Male,3,1,Sales Representative,2,Single,2269,0,Y,N,14,3,2,1,3,2,3,2,2,2,2,2015,5,2,3,0,3,
107935,21,No,Travel_Rarely,Sales,5,Medical,3,Male,3,1,Sales Representative,1,Single,2380,1,Y,Yes,11,3,4,0,2,6,3,2,2,1,2,2015,4,2,3,0,4,
